MP_PT,AU_Substance_SCTID,Int_Substance_SCTID
"2,3-bis(sulfanyl)propane-1-sulfonate",,
eucalyptus oil + lemon tea tree oil,2775011000036103 + 31474011000036105,12510000 + 412518008
ergotamine + caffeine,31186011000036108 + 30880011000036106,395975005 + 255641001
glucosamine + turmeric extract,31291011000036101 + 1177451000168100,70237008 + 227414003
dextropropoxyphene,2013011000036109,387042001
pholcodine + pseudoephedrine,2480011000036105 + 2525011000036101,
methysergide,2331011000036103,387044000
dressing hydroactive superficial wound high exudate semi-permeable absorbent foam,48177011000036105,412148004
iron sucrose,2241011000036106,129497004
risankizumab,1376621000168100,787732000
clomifene,1965011000036100,387166005
lemborexant,1562131000168103,838465007
calcium chloride + magnesium chloride,1895011000036106 + 2299011000036101,387377009 + 45733002
sodium chloride + sodium bicarbonate + potassium chloride + dibasic sodium phosphate,2591011000036106 + 2736011000036107 + 2500011000036101 + 894351000168102,
potassium citrate + citric acid,950191000168104 + 1956011000036104,
dry psyllium husk,2806011000036102,395763007
colecalciferol + thiamine + riboflavin + nicotinamide + pyridoxine + cyanocobalamin + levomefolic acid + ascorbic acid + calcium + betacarotene + d-alpha-tocopherol + choline + biotin,1981011000036104 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 2532011000036107 + 1985011000036102 + 1340161000168104 + 30781011000036102 + 1893011000036105 + 30824011000036106 + 31074011000036100 + 30973011000036101 + 30839011000036109,18414002 + 61768002 + 13235001 + 173196005 + 430469009 + 419382002 + 432165000 + 43706004 + 767178007 + 103068006 + 116776001 + 65123005 + 8919000
tucatinib,1501211000168106,871698009
dressing foam with charcoal malodorous wound,48165011000036109,"412148004,32519007"
varicella-zoster virus glycoprotein E recombinant adjuvanted vaccine,1483991000168100,23021000087106
chlorphenamine + dextromethorphan + paracetamol + pseudoephedrine,30971011000036102 + 31105011000036100 + 2442011000036104 + 2525011000036101,372914003 + 387114001 + 384977007 + 372900003
rhamnus frangula + sterculia,2555011000036100 + 2601011000036100,
bictegravir + emtricitabine + tenofovir alafenamide,1236081000168100 + 2070011000036109 + 768641000168104,772193003 + 404856006 + 715220007
zinc + magnesium + pyridoxine,2718011000036102 + 2297011000036108 + 2532011000036107,
cinchocaine + zinc oxide,1947011000036103 + 2719011000036105,395953008 + 42841002
benzoic acid + salicylic acid,30816011000036106 + 2574011000036101,387350000 + 387253001
Tamarindus indica seed polysaccharide,2853011000036100,256249000
alanine + arginine + aspartic acid + glutamic acid + glycine + histidine + hydroxyproline + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tyrosine + valine,30763011000036104 + 30782011000036108 + 31295011000036104 + 2177011000036102 + 31345011000036101 + 31370011000036109 + 31429011000036107 + 31475011000036109 + 2294011000036102 + 31572011000036106 + 31749011000036103 + 30679011000036102 + 31824011000036100 + 31930011000036100 + 32053011000036101 + 32112011000036107 + 32125011000036105,58753009 + 52625008 + 44970006 + 85214009 + 15331006 + 60260004 + 74727008 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 52736009 + 27378009 + 72840006
Lactobacillus acidophilus + Bifidobacterium lactis + bovine colostrum,31460011000036109 + 1181231000168107 + 1166341000168101,16744007 + None + 53875002
sofosbuvir,699721000168100,710806008
nicotinamide,31624011000036109,173196005
betacarotene + retinol acetate + colecalciferol + dl-alpha-tocopheryl acetate + thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + folic acid + cyanocobalamin + ascorbic acid + biotin + phytomenadione + iron + calcium + magnesium + zinc + iodine + potassium + copper + chromium + manganese + selenium + lutein + lycopene,30824011000036106 + 31867011000036101 + 1981011000036104 + 809501000168108 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 2140011000036102 + 1985011000036102 + 30781011000036102 + 30839011000036109 + 31759011000036100 + 2239011000036109 + 1893011000036105 + 2297011000036108 + 2718011000036102 + 1889011000036109 + 2497011000036107 + 31033011000036104 + 30978011000036106 + 31529011000036100 + 2762011000036104 + 730581000168103 + 730591000168100,103068006 + 421621000 + 18414002 + 116776001 + 61768002 + 13235001 + 173196005 + 86431009 + 430469009 + 63718003 + 419382002 + 43706004 + 8919000 + 66656000 + 3829006 + 767178007 + 72717003 + 86739005 + 44588005 + 88480006 + 66925006 + 111070004 + 87869004 + 22038003 + 422048002 + 414625009
betaine,30827011000036100,43356007
nadolol,1502891000168107,387482003
brahmi extract,1337171000168107,None
lutein + selenium + zeaxanthin + fish oil,730581000168103 + 2762011000036104 + 758131000168105 + 75893011000036103,422048002 + 22038003 + 702790002 + 735341005
tecovirimat,,
tepotinib,,
dextran-70 + macrogol-400 + povidone + tetryzoline,31104011000036104 + 31507011000036101 + 31805011000036105 + 32039011000036102,12391001 + 713360008 + 396449009 + 372673004
factor VIII inhibitor bypassing fraction,31220011000036102,109003006
entrectinib,1481371000168103,789356007
sotrovimab,1576431000168103,1162689008
valerian + hops extract + passiflora incarnata extract + balm leaf extract,75904011000036108 + 1344441000168104 + 1180481000168102 + 1293951000168107,
vitamin A + betacarotene + thiamine + riboflavin + pyridoxine + cyanocobalamin + nicotinamide + biotin + folic acid + ascorbic acid + calcium pantothenate + colecalciferol + dl-alpha-tocopherol + phytomenadione + zinc amino acid chelate,32146011000036101 + 30824011000036106 + 2643011000036109 + 31873011000036103 + 2532011000036107 + 1985011000036102 + 31624011000036109 + 30839011000036109 + 2140011000036102 + 30781011000036102 + 31695011000036101 + 1981011000036104 + 30703011000036100 + 31759011000036100 + 32170011000036100,
docosahexaenoic acid with carbohydrate,147721000036105,226368001
olive oil,31645011000036106,41834005
amino acid formula with vitamins and minerals,649961000168100,52518006
magnesium + ascorbic acid + pyridoxine + colecalciferol + manganese,2297011000036108 + 30781011000036102 + 2532011000036107 + 1981011000036104 + 31529011000036100,72717003 + 43706004 + 430469009 + 18414002 + 87869004
neomycin + bacitracin zinc,2389011000036108 + 2849011000036100,373528008 + 31707003
arachis oil extract of coal tar + cade oil + coal tar solution + tar,2832011000036106 + 2807011000036104 + 2835011000036103 + 2617011000036106,"417889008,53034005 + 84270004 + 53034005 + 263894008"
guaifenesin + glucose + treacle,31323011000036100 + 2173011000036106 + 32081011000036107,87174009 + 67079006 + 227606003
ferrous gluconate + ascorbic acid,1471461000168108 + 30781011000036102,387147005 + 43706004
stavudine,2600011000036107,386895008
glucagon hydrochloride,2749011000036102,427742003
sofosbuvir + velpatasvir + voxilaprevir,699721000168100 + 955701000168104 + 1220381000168103,
citrulline with carbohydrate,927568011000036101,30022007
cineole + pine oil pumilio + rosemary oil + terpineol + thyme oil,30989011000036109 + 31764011000036109 + 31889011000036106 + 32031011000036101 + 32057011000036105,259119007 + 32050003 + 73553009 + 28823005 + 21564001
auranofin,1826011000036106,387100001
glipizide,2172011000036104,387143009
ortho-dichlorobenzene + para-dichlorobenzene + chlorobutanol + arachis oil,2728011000036108 + 2729011000036100 + 1932011000036104 + 2831011000036100,52315005 + 43896004 + 9234005 + 417889008
alpha-1-proteinase inhibitor,967511000168106,14767006
flutamide,2133011000036109,387587007
taliglucerase alfa,737351000168104,708713007
migalastat,1237381000168104,765340000
asciminib,,
red back spider antivenom,73622011000036104,699493003
urokinase,1339431000168108,59082006
miconazole + bufexamac,2345011000036100 + 30867011000036105,372738006 + 273952005
vismodegib,143211000036101,703812008
prednisolone sodium phosphate,2508011000036104,96335004
proguanil,31822011000036109,387094004
zinc oxide + dimeticone-350 + light liquid paraffin,2719011000036105 + 2798011000036103 + 2818011000036100,
bemotrizinol + butyl methoxydibenzoylmethane + isoamyl methoxycinnamate + oxybenzone + diethylamino hydroxybenzoyl hexyl benzoate,684061000168107 + 1887011000036102 + 1368411000168101 + 2429011000036106 + 684071000168101,None + 256171000 + 256177001 + 72179002 + None
sodium chloride + potassium chloride + calcium chloride + magnesium chloride + acetate + citric acid,2591011000036106 + 2500011000036101 + 1895011000036106 + 2299011000036101 + 1756011000036107 + 1956011000036104,
ancestim,30746011000036104,703829006
olodaterol,172491000036100,704459002
sodium picosulfate + magnesium carbonate + citric acid,899121000168109 + 867241000168101 + 1956011000036104,
dibasic potassium phosphate + monobasic potassium phosphate,64906011000036105 + 64907011000036108,73722009 + 61244006
fomepizole,956101000168107,386970006
"amino acid formula with fat, carbohydrate without methionine",1468091000168106,"52518006,2331003"
quinagolide,2537011000036109,395850005
acalabrutinib,1435521000168104,763037006
ascorbic acid + dl-alpha-tocopheryl acetate + zinc + copper,30781011000036102 + 809501000168108 + 2718011000036102 + 31033011000036104,43706004 + 116776001 + 86739005 + 66925006
drotrecogin alfa (activated),2839011000036101,416468004
daclatasvir,729441000168100,712519008
fluocinolone,1376331000168106,395977002
etravirine,30671011000036101 + 30818011000036105,386966003
mexiletine,2341011000036102,372909002
naltrexone + bupropion,2753011000036102 + 1882011000036104,373546002 + 387564004
midostaurin,1231431000168104,763613005
cocaine + adrenaline (epinephrine),52963011000036108 + 1767011000036101,387085005 + 387362001
dextran-1,31102011000036108,109024001
glucose and ketone indicator urine,48143011000036102,
palifermin,31684011000036104,417550009
lumacaftor + ivacaftor,804461000168107 + 154401000036104,716073005 + 703823007
pizotifen,2491011000036104,395834002
coal tar solution + tar + salicylic acid + undecylenamide dea,2835011000036103 + 2617011000036106 + 2574011000036101 + 2694011000036104,53034005 + 263894008 + 387253001 + None
sulfadiazine,31998011000036106,74523009
isopropyl alcohol,31432011000036104,85062008
colestyramine,1941011000036106,387408001
bezlotoxumab,1092821000168106,723524001
titanium,2667011000036107,1166006
acetazolamide,1759011000036103,372709008
gilteritinib,1492201000168105,782974005
phenoxybenzamine,2471011000036106,372838003
pegaspargase,1176061000168109,108814000
fosaprepitant,35837011000036108,429825009
perhexiline,2456011000036103,421817009
amantadine,1782011000036101,372763006
linagliptin,933240711000036108,702798009
bemotrizinol + diethylamino hydroxybenzoyl hexyl benzoate + octyl methoxycinnamate + ethylhexyl triazone + titanium dioxide,684061000168107 + 684071000168101 + 2408011000036106 + 684111000168108 + 2668011000036108,None + None + 256173002 + 737681000168100 + 62036000
prepared ipecacuanha,31424011000036106,47937008
mesterolone,31567011000036102,96346001
dapoxetine,663381000168100,702794006
elasomeran + imelasomeran,,
sodium nitrite,53045011000036104,10377000
valine with carbohydrate,48222011000036105,72840006
hepatitis B virus immunoglobulin,73640011000036101,122450004
camphor + menthol + methyl salicylate,30895011000036103 + 2313011000036108 + 2792011000036101,111136003 + 387414008 + 386988003
Rosa canina extract,1157431000168108,710226003
binimetinib,1252811000168104,772195005
ethanol + glycerol + lidocaine (lignocaine) + menthol + salicylic acid + tannic acid + thymol,31199011000036100 + 2175011000036107 + 2277011000036104 + 2313011000036108 + 2574011000036101 + 32017011000036102 + 32058011000036106,419442005 + 80582002 + 387480006 + 387414008 + 387253001 + 41412001 + 54932001
pentamidine,31725011000036103,372699006
diphenhydramine + ammonium chloride,31134011000036107 + 30734011000036106,372682005 + 51366003
boceprevir,87451000036109,698183007
doripenem,79324011000036100,428352004
psyllium husk powder + high amylose maize starch,2829011000036103 + 2826011000036107,
gemeprost,31283011000036104,395729005
thiamine + riboflavin + nicotinamide + dexpanthenol + pyridoxine,2643011000036109 + 31873011000036103 + 31624011000036109 + 31101011000036102 + 2532011000036107,
natamycin,1176991000168103,372712006
vildagliptin,85240011000036106,428611002
talimogene laherparepvec,762031000168100,717219000
protionamide,1176051000168107,703589003
cabozantinib,1105941000168105,718844003
obinutuzumab,652981000168101,710287009
Haemophilus influenzae type b conjugate (PRP-OMP) + hepatitis B vaccine,827671000168103 + 824451000168102,24701000087101 + 22290004
ceftazidime + avibactam,30934011000036101 + 1172421000168105,387200005 + 715180004
betacarotene + retinol acetate + ascorbic acid + colecalciferol + d-alpha-tocopherol + thiamine + riboflavin + pantothenic acid + pyridoxine + cyanocobalamin + mecobalamin (co-methylcobalamin) + folic acid + selenium + biotin + inositol + calcium + magnesium + iodine + copper + zinc + nicotinamide + manganese + iron + chromium + molybdenum + choline,30824011000036106 + 31867011000036101 + 30781011000036102 + 1981011000036104 + 31074011000036100 + 2643011000036109 + 31873011000036103 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 1180421000168101 + 2140011000036102 + 2762011000036104 + 30839011000036109 + 31405011000036101 + 1893011000036105 + 2297011000036108 + 1889011000036109 + 31033011000036104 + 2718011000036102 + 31624011000036109 + 31529011000036100 + 2239011000036109 + 30978011000036106 + 31598011000036103 + 30973011000036101,103068006 + 421621000 + 43706004 + 18414002 + 116776001 + 61768002 + 13235001 + 86431009 + 430469009 + 419382002 + 781584003 + 63718003 + 22038003 + 8919000 + 72164009 + 767178007 + 72717003 + 44588005 + 66925006 + 86739005 + 173196005 + 87869004 + 3829006 + 111070004 + 71128006 + 65123005
enfuvirtide,2073011000036101,409127007
testosterone enantate,32032011000036107,
king brown snake antivenom,73617011000036106,703203001
pholcodine + promethazine,2480011000036105 + 2517011000036102,
St Mary's thistle extract + ascorbic acid + biotin + zinc + colloidal anhydrous silica + ferrous fumarate,1293941000168105 + 30781011000036102 + 30839011000036109 + 2718011000036102 + 1338181000168106 + 2237011000036102,
procainamide,31815011000036107,372589008
methyl salicylate + menthol + camphor + eucalyptus oil + pine oil pumilio + turpentine oil + peppermint oil + cajuput oil + capsicum extract,2792011000036101 + 2313011000036108 + 30895011000036103 + 2775011000036103 + 31764011000036109 + 1141601000168107 + 2822011000036108 + 30881011000036104 + 1274111000168103,386988003 + 387414008 + 111136003 + 12510000 + 32050003 + 256107000 + 52283007 + 13006004 + 421556008
influenza quadrivalent adjuvanted vaccine 2021,1532231000168100,260210008
bismuth subnitrate + iodoform,30841011000036106 + 31413011000036100,391852006 + 46257009
macrogol-400,31507011000036101,713360008
dolutegravir + rilpivirine,167461000036103 + 351000036107,713464000 + 703123005
homosalate + menthyl anthranilate + octyl methoxycinnamate + octyl salicylate + oxybenzone,75895011000036102 + 75897011000036107 + 2408011000036106 + 2755011000036101 + 2429011000036106,60135007 + 46491005 + 256173002 + 29622009 + 72179002
ammonium chloride + citric acid + diphenhydramine + menthol,30734011000036106 + 1956011000036104 + 31134011000036107 + 2313011000036108,51366003 + 75399008 + 372682005 + 387414008
imipenem + cilastatin,31384011000036108 + 30983011000036106,46558003 + 96058005
crystal violet,31046011000036109,387239001
eptifibatide,2085011000036107,386998009
menthol + camphor + thymol + eucalyptus oil + turpentine oil + nutmeg oil,2313011000036108 + 30895011000036103 + 32058011000036106 + 2775011000036103 + 1141601000168107 + 1141611000168105,387414008 + 111136003 + 54932001 + 12510000 + 256107000 + 65592004
levosimendan,1415661000168102,442795003
agalsidase beta,,
magnesium trisilicate + magnesium carbonate + bicarbonate,2301011000036105 + 867241000168101 + 2735011000036100,387117008 + 387401007 + 68615006
basiliximab,30808011000036107,386978004
artesunate,1175741000168102,432410005
neomycin sulfate,2833011000036104,70961008
green lipped mussel oil,1338351000168101,227150003
tenofovir alafenamide + emtricitabine + elvitegravir + cobicistat,768641000168104 + 2070011000036109 + 154421000036109 + 154431000036106,
calcitonin salmon (salcatonin),2573011000036103,127384006
light liquid paraffin + cocoamphodiacetate disodium,2818011000036100 + 2035011000036102,713361007 + None
glucosamine + chondroitin sulfate + boron,31291011000036101 + 1106851000168109 + 932931000168102,70237008 + 4104007 + 70597009
dressing hydrocolloid superficial wound moderate exudate with alginate,48226011000036109,
siltuximab,1208691000168104,704262001
copper + chromium + manganese,31033011000036104 + 30978011000036106 + 31529011000036100,66925006 + 111070004 + 87869004
phenindione,31743011000036101,387260007
hydroxyapatite + colecalciferol + menaquinone-7,31368011000036103 + 1981011000036104 + 1205691000168107,256579008 + 18414002 + 1222981000168103
idarucizumab,882861000168103,716017002
dressing alginate with manuka honey,733041000168106,227598003
tiludronate,2660011000036106,96286006
zinc + manganese + pyridoxine,2718011000036102 + 31529011000036100 + 2532011000036107,
ascorbic acid + citrus bioflavonoids extract + rutoside + quercetin,30781011000036102 + 30998011000036100 + 31902011000036106 + 31851011000036102,"43706004 + 72309009,102259006 + 68077006 + 52130006"
sterculia,2601011000036100,42033003
alglucosidase alfa,35848011000036108,703393008
raltegravir,35849011000036100,429707008
ascorbic acid + copper + d-alpha-tocopherol + zinc,30781011000036102 + 31033011000036104 + 31074011000036100 + 2718011000036102,43706004 + 66925006 + 116776001 + 86739005
Vitis vinifera leaf,975111000168103,256317002
dimeticone-350 + zinc oxide,2798011000036103 + 2719011000036105,395942002 + 42841002
cytomegalovirus immunoglobulin,73639011000036106,120941004
COVID-19 ChAdOx1-S viral vector vaccine,1527281000168103,28531000087107
panthenol,31694011000036100,704430002
molnupiravir,1594711000168103,1201931008
Haemophilus influenzae type b conjugate (PRP-OMP) vaccine,827671000168103,412374001
turmeric extract + devil's claw extract + Indian frankincense extract + white willow extract + black pepper extract,1177451000168100 + 1590791000168104 + 1177381000168104 + 1468651000168107 + 1351611000168101,
"amino acid formula with vitamins and minerals without valine, leucine and isoleucine with fat, carbohydrate and trace elements and supplemented with docosahexaenoic acid",81960011000036104,52518006
fluoride + potassium,31250011000036103 + 2497011000036107,372639009 + 88480006
curcumin,1217131000168107,89028002
saxagliptin + dapagliflozin,929804011000036103 + 87461000036107,
risdiplam,1560231000168107,896813005
mogamulizumab,1528801000168106,773522000
alpha lipoic acid + brahmi extract + ginkgo biloba extract + Korean ginseng extract,1177451000168100 + 1590791000168104 + 1177381000168104 + 1468651000168107 + 1351611000168101,70496003 + None + 412394005 + 412395006
ascorbic acid + aspirin + chlorphenamine + phenylephrine,30781011000036102 + 1817011000036100 + 30971011000036102 + 2476011000036101,43706004 + 387458008 + 372914003 + 372771005
ginger extract,1380211000168102,227400003
papaya,1292751000168104,227439007
apalutamide,1316511000168100,766972001
magnesium chloride + potassium chloride + procaine,2299011000036101 + 2500011000036101 + 2512011000036104,45733002 + 8631001 + 387238009
sodium chloride + hypochlorous acid + sodium hypochlorite,2591011000036106 + 938091000168104 + 938081000168102,
retinol palmitate + thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + ascorbic acid + colecalciferol + menaquinone-7 + biotin + calcium + folic acid + iodine + ferrous fumarate + magnesium + zinc + lysine,31868011000036100 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30781011000036102 + 1981011000036104 + 1205691000168107 + 30839011000036109 + 1893011000036105 + 2140011000036102 + 1889011000036109 + 2237011000036102 + 2297011000036108 + 2718011000036102 + 2294011000036102,
lidocaine (lignocaine) + cetrimide + chlorhexidine + hexamidine,2277011000036104 + 30949011000036104 + 1933011000036106 + 31341011000036103,387480006 + 395895003 + 373568007 + 703831002
benzalkonium chloride + tolnaftate,2843011000036103 + 2671011000036109,64686009 + 387204001
lutein + zeaxanthin,730581000168103 + 758131000168105,422048002 + 702790002
argipressin,30765011000036103,421078009
soft soap,31956011000036101,425780001
ferrous bisglycinate + ascorbic acid + citrus bioflavonoids extract,1340151000168101 + 30781011000036102 + 30998011000036100,"767270007 + 43706004 + 72309009,102259006"
ferrous bisglycinate + ascorbic acid + pyridoxine + levomefolic acid + folinic acid + mecobalamin (co-methylcobalamin) + cyanocobalamin,1340151000168101 + 30781011000036102 + 2532011000036107 + 1340161000168104 + 2745011000036104 + 1180421000168101 + 1985011000036102,767270007 + 43706004 + 430469009 + 432165000 + 396065004 + 781584003 + 419382002
aluminium hydroxide + light kaolin + pectin,1781011000036107 + 31449011000036105 + 31717011000036104,273944007 + 713362000 + 55946005
zuclopenthixol,2724011000036101,428715002
dressing poly-absorbent fibre lipidocolloid with sucrose octasulfate moderate exudate,,
essential amino acids formula,83537011000036105,52518006
vitamin A,32146011000036101,82622003
dapagliflozin,87461000036107,703674001
iron + zinc + thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + ascorbic acid + biotin,2239011000036109 + 2718011000036102 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30781011000036102 + 30839011000036109,3829006 + 86739005 + 61768002 + 13235001 + 173196005 + 86431009 + 430469009 + 419382002 + 43706004 + 8919000
periciazine,2458011000036104,395825007
magnesium + chromium + manganese + pyridoxine + colecalciferol + ascorbic acid,2297011000036108 + 30978011000036106 + 31529011000036100 + 2532011000036107 + 1981011000036104 + 30781011000036102,72717003 + 111070004 + 87869004 + 430469009 + 18414002 + 43706004
ferrous phosphate + potassium chloride,31231011000036106 + 2500011000036101,419846004 + 8631001
dydrogesterone,2064011000036105,126093005
Q fever skin test,950331000168101,372490001
clindamycin + triamcinolone,1963011000036101 + 2685011000036104,372786004 + 116594009
radium (223Ra),999171000168104,24853006
galactose + palmitic acid,31276011000036103 + 31686011000036107,38182007 + 87044003
bandage absorbent wool,48146011000036108,412161004
nirmatrelvir,1594861000168109,
zanubrutinib,1597041000168108,830162004
neratinib,1341991000168100,736632003
perflutren,31733011000036102,409292001
isavuconazole,1432281000168109,765386003
elasomeran,1565211000168109,1172706007
rifapentine,1178391000168100,108686006
bromhexine + cetylpyridinium,30860011000036109 + 30954011000036102,708561003 + 387043006
ashwagandha extract + Siberian ginseng extract + Korean ginseng extract + American ginseng extract + reishi mushroom extract + phenylalanine + tyrosine + pantothenic acid + calcium + nicotinamide + nicotinic acid + pyridoxine + folinic acid + cyanocobalamin,1380481000168107 + 1380491000168105 + 1379591000168109 + 1380501000168103 + 1379801000168101 + 31749011000036103 + 32112011000036107 + 31697011000036106 + 1893011000036105 + 31624011000036109 + 31630011000036101 + 2532011000036107 + 2745011000036104 + 1985011000036102,None + 412395006 + 412395006 + 412395006 + 735045008 + 63004003 + 27378009 + 86431009 + 767178007 + 173196005 + 273943001 + 430469009 + 396065004 + 419382002
dimenhydrinate,31127011000036104,387469006
reteplase,2554011000036104,386957002
temsirolimus,64910011000036105,427153004
cobicistat,154431000036106,710109003
homatropine + cocaine,2190011000036105 + 52963011000036108,372864009 + 387085005
pivmecillinam,1178721000168103,387542008
ammonium chloride + codeine + guaifenesin + phenylephrine + pseudoephedrine,30734011000036106 + 1978011000036103 + 31323011000036100 + 2476011000036101 + 2525011000036101,51366003 + 387494007 + 87174009 + 372771005 + 372900003
magnesium trisilicate + chalk + bicarbonate + magnesium carbonate,2301011000036105 + 664321000168102 + 2735011000036100 + 867241000168101,387117008 + 418016005 + 68615006 + 387401007
melaleuca oil + menthol + camphor + phenol,31547011000036109 + 2313011000036108 + 30895011000036103 + 2470011000036104,412518008 + 387414008 + 111136003 + 116613007
glucosamine + chondroitin sulfate + magnesium + ascorbic acid + manganese,31291011000036101 + 1106851000168109 + 2297011000036108 + 30781011000036102 + 31529011000036100,70237008 + 4104007 + 72717003 + 43706004 + 87869004
"amino acid formula with vitamins, minerals, fibre and docosahexaenoic acid without phenylalanine and tyrosine",702881000168105,52518006
pyrethrins + piperonyl butoxide,31847011000036108 + 31772011000036107,
influenza trivalent adjuvanted vaccine 2018,1123591000168103,260210008
benzoyl peroxide + bentonite,30818011000036105 + 30813011000036100,91598004 + 42230009
acetylcholine,30665011000036108,57308006
dressing alginate cavity wound,48161011000036107,
hylan G-F 20,1118971000168107,1155891000168102
codeine + ethylmorphine,1978011000036103 + 1071021000168101,387494007 + 74905005
dipivefrine,2032011000036105,372830005
olive oil + soya oil + alanine + arginine + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tryptophan + tyrosine + valine + sodium acetate + glycerophosphoric acid + potassium chloride + magnesium chloride + glucose + calcium chloride,31645011000036106 + 31977011000036101 + 30679011000036102 + 30763011000036104 + 2177011000036102 + 31345011000036101 + 31429011000036107 + 31475011000036109 + 2294011000036102 + 31572011000036106 + 31749011000036103 + 31824011000036100 + 31930011000036100 + 32053011000036101 + 32104011000036100 + 32112011000036107 + 32125011000036105 + 1758011000036106 + 31304011000036109 + 2500011000036101 + 2299011000036101 + 2173011000036106 + 1895011000036106,41834005 + 226911007 + 58753009 + 52625008 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 52736009 + 54821000 + 27378009 + 72840006 + 108951007 + 86447006 + 8631001 + 45733002 + 67079006 + 387377009
activated charcoal + peppermint oil,2794011000036105 + 2822011000036108,32519007 + 52283007
silver nitrate + potassium nitrate,31942011000036102 + 31801011000036108,
procyclidine,926511000168102,387247001
calcium + colecalciferol + phytomenadione,1893011000036105 + 1981011000036104 + 31759011000036100,767178007 + 18414002 + 66656000
iodised oil,31411011000036101,89595000
liposomal amphotericin B,39545011000036108,412088006
dressing hydrogel amorphous sheet,117971000036104,303529009
benzoin Sumatra + Aloe vera extract + storax prepared + tolu balsam,30817011000036109 + 75906011000036100 + 31989011000036102 + 32075011000036102,387484002 + 1162410007 + 256191007 + None
essential amino acids formula with vitamins and minerals,52965011000036109,112000000
crotamiton,31045011000036102,387515007
demeclocycline hydrochloride,1338601000168105,10324005
COVID-19 (NVX-CoV2373) vaccine,1595581000168102,28531000087107
homatropine,2190011000036105,372864009
lysine,2294011000036102,75799006
lomustine,31496011000036105,387227009
framycetin sulfate,2850011000036108,442008002
alemtuzumab,30689011000036108,129472003
dressing gauze paraffin,48173011000036101,255667006
salicylic acid + butyl hydroxybenzoate + propionic acid,2574011000036101 + 30878011000036103 + 64911011000036103,
belatacept,699871000168107,713475001
d-alpha-tocopheryl acetate,31075011000036101,116776001
aluminium chlorohydrate + benzoin Sumatra + dimeticone-350 + liquid paraffin + zinc oxide,31031011000036100 + 31044011000036101,409115009 + 387484002 + 395942002 + 255667006 + 42841002
dinutuximab beta,1493621000168107,724036009
regdanvimab,1592401000168102,
dressing lipidocolloid moderate exudate,,
Japanese encephalitis live vaccine,821481000168107,121027000
bumetanide,30868011000036106,387498005
asunaprevir,729661000168104,715390003
dalfopristin + quinupristin,31073011000036102 + 31856011000036107,387016001 + 387015002
propantheline,2519011000036109,372721007
boric acid + phenol + zinc oxide,30851011000036109 + 2470011000036104 + 2719011000036105,21611007 + 116613007 + 42841002
hydrochlorothiazide,2194011000036100,387525002
"amino acid formula without phenylalanine, tyrosine and methionine",48205011000036106,52518006
colestipol hydrochloride,2808011000036103,55316001
asparaginase (colaspase),31024011000036104,371014004
acetic acid + hydroxyquinoline + ricinoleic acid,1760011000036102 + 2204011000036100 + 2557011000036105,2869004 + 77245001 + None
plitidepsin,1256921000168104,
liquid paraffin + glycerol + tyloxapol + poloxamer-188 + trometamol hydrochloride + trometamol + cetalkonium chloride,2819011000036108 + 2175011000036107 + 1559581000168107 + 1559571000168109 + 1559591000168105 + 32101011000036103 + 30945011000036101,255667006 + 80582002 + 386931000 + 395948003 + 59034000 + 59034000 + 422394006
camphor + menthol + phenol,30895011000036103 + 2313011000036108 + 2470011000036104,111136003 + 387414008 + 116613007
hyaluronic acid + chondroitin sulfate,1143641000168105 + 1106851000168109,38218009 + 4104007
alanine + arginine + aspartic acid + cysteine + glutamic acid + glycine + histidine + isoleucine + leucine + lysine + methionine + ornithine + phenylalanine + proline + serine + taurine + threonine + tryptophan + tyrosine + valine,30763011000036104 + 30782011000036108 + 31067011000036100 + 31295011000036104 + 2177011000036102 + 31345011000036101 + 31429011000036107 + 31475011000036109 + 2294011000036102 + 31572011000036106 + 31660011000036107 + 31749011000036103 + 31824011000036100 + 31930011000036100 + 32020011000036105 + 32053011000036101 + 32104011000036100 + 30679011000036102 + 32112011000036107 + 32125011000036105,58753009 + 52625008 + 44970006 + 5932006 + 85214009 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 8514004 + 63004003 + 52541003 + 14125007 + 10944007 + 52736009 + 54821000 + 27378009 + 72840006
romidepsin,154441000036101,444608004
carbomer-974P,716151000168107,410956009
clobetasol,167481000036108,419129004
temocillin,1173921000168109,387543003
tetracycline,796881000168109,372809001
